slug,title,output_path,type
gc-2fa514959418,강남300 컨트리클럽,public/seo-images/courses/gc-2fa514959418.png,course
gc-4cbc2f4feecc,로제비앙GC,public/seo-images/courses/gc-4cbc2f4feecc.png,course
gc-14e8979016a9,곤지암GC,public/seo-images/courses/gc-14e8979016a9.png,course
gc-f28133275bb9,중부컨트리클럽,public/seo-images/courses/gc-f28133275bb9.png,course
gc-3c54aee76615,뉴서울컨트리클럽,public/seo-images/courses/gc-3c54aee76615.png,course
gc-3e570fca0614,캐슬렉스골프클럽,public/seo-images/courses/gc-3e570fca0614.png,course
gc-9944c1872c71,안양컨트리클럽,public/seo-images/courses/gc-9944c1872c71.png,course
gc-9bb0cbe01084,송추 컨트리클럽,public/seo-images/courses/gc-9bb0cbe01084.png,course
gc-82563fee9804,에이치원 클럽,public/seo-images/courses/gc-82563fee9804.png,course
gc-eb40a22304aa,뉴스프링빌골프장,public/seo-images/courses/gc-eb40a22304aa.png,course
gc-b046571c4182,더반 골프클럽,public/seo-images/courses/gc-b046571c4182.png,course
