row_index,id,name,change_name_to,primary_search_term,fallback_search_term,existing_price_min,existing_price_max,will_crawl,reason
74,gc-73a2a3982c35,광릉CC(회원제),한림광릉CC(회원제),한림광릉,광릉CC(회원제),,,yes,included_in_csv_row_order
75,gc-66517960c8f8,광릉CC(비회원제),한림광릉CC(퍼블릭),한림광릉,광릉CC(비회원제),,,yes,included_in_csv_row_order
76,gc-63e74643a178,더헤븐 컨트리클럽,더헤븐CC,더헤븐,더헤븐 컨트리클럽,,,yes,included_in_csv_row_order
77,gc-81becbdb274e,파주 J-Public 골프장,파주제이퍼블릭골프클럽,파주제이퍼블릭,파주 J-Public 골프장,63700,95500,yes,included_in_csv_row_order_even_with_existing_price
78,gc-34f4d067cfc2,파주컨트리클럽,원더클럽 파주CC,원더클럽 파주,파주컨트리클럽,,,yes,included_in_csv_row_order
79,gc-9eb46dae9c9d,타이거CC 골프장,타이거CC,타이거,타이거CC 골프장,130000,240000,yes,included_in_csv_row_order_even_with_existing_price
80,gc-f2cf5d51eba9,레이크우드 골프장(회원제),레이크우드CC(회원제),레이크우드,레이크우드 골프장(회원제),,,yes,included_in_csv_row_order
81,gc-310ce4be2e54,레이크우드 골프장(비회원제),레이크우드CC(퍼블릭),레이크우드,레이크우드 골프장(비회원제),,,yes,included_in_csv_row_order
82,gc-2f2cc6b9afe3,비에이비스타컨트리클럽(비회원),비에이비스타CC(퍼블릭),비에이비스타,비에이비스타컨트리클럽(비회원),,,yes,included_in_csv_row_order
83,gc-06bb9165507c,사우스스프링스C.C,사우스스프링스CC,사우스스프링스,사우스스프링스C.C,200000,250000,yes,included_in_csv_row_order_even_with_existing_price
84,gc-014659dabae9,블랙스톤골프장(회원제),블랙스톤CC,블랙스톤,블랙스톤골프장(회원제),,,yes,included_in_csv_row_order
85,gc-403c1dbe574a,이천실크밸리골프클럽,이천실크밸리GC,이천실크밸리,이천실크밸리골프클럽,,,yes,included_in_csv_row_order
86,gc-fde386e28664,마이다스레이크 이천 골프&리조트,마이다스레이크 이천 골프앤리조트,마이다스레이크 이천 골프앤,마이다스레이크 이천 골프&리조트,,,yes,included_in_csv_row_order
87,gc-cd449267e87f,파인크리크C.C,파인크리크CC,파인크리크,파인크리크C.C,,,yes,included_in_csv_row_order
88,gc-adc16ee54b54,안성컨트리클럽,안성CC,안성,안성컨트리클럽,,,yes,included_in_csv_row_order
89,gc-4884a38f1896,포천아도니스 C.C,포천아도니스CC,포천아도니스,포천아도니스 C.C,,,yes,included_in_csv_row_order
90,gc-e2614722e86e,포천아도니스 대중골프장,포천아도니스CC 퍼블릭,포천아도니스CC 퍼블릭,포천아도니스 대중골프장,,,yes,included_in_csv_row_order
91,gc-1914b4243487,몽베르 컨트리클럽(회원제),몽베르CC(회원제),몽베르,몽베르 컨트리클럽(회원제),,,yes,included_in_csv_row_order
92,gc-d569726d2503,일동레이크대중제골프장,일동레이크GC,일동레이크,일동레이크대중제골프장,,,yes,included_in_csv_row_order
93,gc-51bfec26aa96,자유컨트리클럽,자유CC,자유,자유컨트리클럽,,,yes,included_in_csv_row_order
94,gc-61ba4f976442,렉스필드 컨트리클럽(회원),렉스필드CC(회원제),렉스필드,렉스필드 컨트리클럽(회원),,,yes,included_in_csv_row_order
95,gc-657d8f5d1426,렉스필드 컨트리클럽(비회원),렉스필드CC(퍼블릭),렉스필드,렉스필드 컨트리클럽(비회원),,,yes,included_in_csv_row_order
96,gc-ddb3947686d1,스카이밸리골프장(회원),스카이밸리CC(회원제),스카이밸리,스카이밸리골프장(회원),,,yes,included_in_csv_row_order
97,gc-2cf253808f7a,캐슬파인골프클럽,캐슬파인GC,캐슬파인,캐슬파인골프클럽,,,yes,included_in_csv_row_order
98,gc-d14f87b6bb30,썬힐G.C,썬힐GC,썬힐,썬힐G.C,,,yes,included_in_csv_row_order
99,gc-aa2c41b33610,아난티클럽서울,아난티클럽서울,아난티클럽서울,아난티클럽서울,,,yes,included_in_csv_row_order
100,gc-a8d0095f2145,가평 베네스트G.C,가평 베네스트GC,가평 베네스트,가평 베네스트G.C,,,yes,included_in_csv_row_order
101,gc-8503021b2f0d,리앤리C.C,리앤리CC,리앤리,리앤리C.C,,,yes,included_in_csv_row_order
102,gc-68d69c3be5e4,에덴밸리컨트리클럽,골프존카운티 이든,골프존카운티 이든,에덴밸리컨트리클럽,,,yes,included_in_csv_row_order
103,gc-60336c4fc30b,고성노벨컨트리클럽,노벨컨트리클럽,노벨,고성노벨컨트리클럽,,,yes,included_in_csv_row_order
104,gc-dd8a710bd41c,청하이스턴C.C,이스턴CC,이스턴,청하이스턴C.C,,,yes,included_in_csv_row_order
105,gc-4fc6d117b7f4,경주신라C.C,경주신라CC,경주신라,경주신라C.C,,,yes,included_in_csv_row_order
106,gc-4826ba3e38b9,마우나오션C.C,마우나오션CC,마우나오션,마우나오션C.C,,,yes,included_in_csv_row_order
107,gc-16c25d6f3f20,마우나오션블루,마우나오션CC,마우나오션,마우나오션블루,,,yes,included_in_csv_row_order
108,gc-eb9124b06908,가든골프클럽,코오롱호텔 가든 골프장,코오롱호텔 가든,가든골프클럽,,,yes,included_in_csv_row_order
109,gc-881d18bae24f,디아너스C.C,강동디아너스CC,강동디아너스,디아너스C.C,,,yes,included_in_csv_row_order
110,gc-e67c48835b2a,선리치G.C,선리치골프클럽,선리치,선리치G.C,,,yes,included_in_csv_row_order
111,gc-d69bb1cfadc7,이스트힐C.C,이스트힐컨트리클럽,이스트힐,이스트힐C.C,,,yes,included_in_csv_row_order
112,gc-bd2c2f813e31,애플밸리C.C,애플밸리CC,애플밸리,애플밸리C.C,,,yes,included_in_csv_row_order
113,gc-1e3e002ab2ce,포도C.C,김천포도CC,김천포도,포도C.C,,,yes,included_in_csv_row_order
