id,name,price_text,price_min,price_max,price_type,difficulty,avg_score,source_url,confidence,needs_check,note
gc-c96a1655bd5c,타미우스cc,,,,unknown,3.3,90.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%83%80%EB%AF%B8%EC%9A%B0%EC%8A%A4cc,high,y,
gc-aff117457c45,라헨느CC,"네이버 예약: 120,000원; 130,000원",120000,130000,reservation_price,7.2,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%ED%97%A8%EB%8A%90CC,high,y,
gc-ed4f10d4c149,볼카노골프앤리조트,,,,unknown,3.6,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B3%BC%EC%B9%B4%EB%85%B8%EA%B3%A8%ED%94%84%EC%95%A4%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-464e4a545027,에코랜드,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%EC%97%90%EC%BD%94%EB%9E%9C%EB%93%9C,high,y,
gc-0e0131544801,라온골프클럽,"네이버 예약: 170,000원; 180,000원",170000,180000,reservation_price,7.3,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%9D%BC%EC%98%A8GC,high,y,
gc-84bb21f2b77e,크라운CC,,,,unknown,,,https://search.naver.com/search.naver?where=nexearch&query=%ED%81%AC%EB%9D%BC%EC%9A%B4CC,high,y,
gc-5f82bbc964a8,더시에나CC,"네이버 예약: 175,000원",175000,175000,reservation_price,8.4,93.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%EC%8B%9C%EC%97%90%EB%82%98CC,high,y,
gc-d03e2b710be0,한라산CC,,,,unknown,5.5,92.0,https://search.naver.com/search.naver?where=nexearch&query=%ED%95%9C%EB%9D%BC%EC%82%B0CC,high,y,
gc-e0165d4e49cd,부영CC,,,,unknown,5.9,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%B6%80%EC%98%81CC,high,y,
gc-7dcfb1b60ab9,서귀포팬텀 골프앤리조트,"네이버 예약: 130,000원",130000,130000,reservation_price,9.4,95.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%84%9C%EA%B7%80%ED%8F%AC%ED%8C%AC%ED%85%80%20%EA%B3%A8%ED%94%84%EC%95%A4%EB%A6%AC%EC%A1%B0%ED%8A%B8,high,y,
gc-c96f2da1a4dc,중문GC,,,,unknown,5.3,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%A4%91%EB%AC%B8GC,high,y,
gc-a441de4b462a,더클래식CC,,,,unknown,8.7,94.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%8D%94%ED%81%B4%EB%9E%98%EC%8B%9DCC,high,y,
gc-e401cda7a8ad,우정힐스 컨트리클럽,,,,unknown,2.2,89.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%9A%B0%EC%A0%95%ED%9E%90%EC%8A%A4%20%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
gc-7681bcbcf45d,천안상록 골프장,,,,unknown,4.3,91.0,https://search.naver.com/search.naver?where=nexearch&query=%EC%B2%9C%EC%95%88%EC%83%81%EB%A1%9D%20%EA%B3%A8%ED%94%84%EC%9E%A5,high,y,
gc-2c27b8854e6b,마론컨트리클럽,"네이버 예약: 180,000원",180000,180000,reservation_price,6.0,92.0,https://search.naver.com/search.naver?where=nexearch&query=%EB%A7%88%EB%A1%A0%EC%BB%A8%ED%8A%B8%EB%A6%AC%ED%81%B4%EB%9F%BD,high,y,
